Date	        Soybean	Corn	        CrudeOil DXY	        S&P500
13/12/13	1101.75	489.5		80.46	80.209999	1775.319946
16/12/13	1106.5	479.25		80.78	80.07		1786.540039
17/12/13	1109	474.75		80.91	80.059998	1781
18/12/13	1103.75	474.5		80.25	80.110001	1810.650024
19/12/13	1107.25	472		79.9	80.629997	1809.599976
20/12/13	1115	474.5		79.65	80.580002	1818.319946
23/12/13	1108.75	471		79.73	80.449997	1827.98999
24/12/13	1107	469.25		79.67	80.529999	1833.319946
26/12/13	1095	463.5		79.89	80.480003	1842.02002
27/12/13	1098.5	463		80.07	80.389999	1841.400024
30/12/13	1090.5	460.25		80.05	80		1841.069946
31/12/13	1084.25	455.5		79.94	80.040001	1848.359985
02/01/14	1079.5	455		78.93	80.629997	1831.97998
03/01/14	1078.75	454		78.58	80.790001	1831.369995
06/01/14	1073.25	455		78.7	80.650002	1826.77002
07/01/14	1065.25	455		77.68	80.830002	1837.880005
08/01/14	1055	454.25		77.08	81.040001	1837.48999
09/01/14	1051.75	453		77.29	81.010002	1838.130005
10/01/14	1048.25	462.5		77.33	80.660004	1842.369995
13/01/14	1057.5	462.75		77.23	80.510002	1819.199951
14/01/14	1057.75	461.5		77.98	80.610001	1838.880005
15/01/14	1056.25	459.25		78.36	81		1848.380005
16/01/14	1061	459.75		77.5	80.900002	1845.890015
17/01/14	1063.25	456.25		77.58	81.260002	1838.699951
21/01/14	1051.5	458.25		77.51	81.099998	1843.800049
22/01/14	1054.25	457.25		77.59	81.169998	1844.859985
23/01/14	1051.75	457		77.32	80.440002	1828.459961
24/01/14	1053.75	456.75		77.8	80.459999	1790.290039
27/01/14	1047.5	458.75		77.64	80.5		1781.560059
28/01/14	1046.5	458.25		77.94	80.57		1792.5
29/01/14	1041.25	457.25		77.63	80.510002	1774.199951
30/01/14	1040.75	457.25		77.62	81.089996	1794.189941
31/01/14	1047.5	457.25		77.11	81.269997	1782.589966
03/02/14	1048.5	456		77.47	81.010002	1741.890015
04/02/14	1048.25	455.25		78.16	81.120003	1755.199951
05/02/14	1050.5	450.75		79.26	81.029999	1751.640015
06/02/14	1055.25	454.25		79.42	80.889999	1773.430054
07/02/14	1058.25	453.5		79.84	80.690002	1797.02002
10/02/14	1053	452.25		79.57	80.669998	1799.839966
11/02/14	1053.25	451.75		80.13	80.629997	1819.75
12/02/14	1050.25	451.75		80.33	80.68		1819.26001
13/02/14	1055.5	451.75		80.49	80.290001	1829.829956
14/02/14	1050.25	451.25		80.53	80.129997	1838.630005
18/02/14	1055.25	452.75		79.95	80.010002	1840.76001
19/02/14	1052	454.5		79.66	80.169998	1828.75
20/02/14	1053	456		80	80.290001	1839.780029
21/02/14	1059.25	452.25		80.16	80.239998	1836.25
24/02/14	1061	451		80.38	80.209999	1847.609985
25/02/14	1066.75	452.5		80.07	80.150002	1845.119995
26/02/14	1069.25	453		80.2	80.410004	1845.160034
27/02/14	1060	449.75		80.49	80.290001	1854.290039
28/02/14	1068.25	455.25		80.78	79.779999	1859.449951
03/03/14	1071.5	451.5		80.76	80.07		1845.72998
04/03/14	1079.5	454.75		80.53	80.160004	1873.910034
05/03/14	1081.25	455.5		80.94	80.110001	1873.810059
06/03/14	1083.25	455.25		81.44	79.68		1877.030029
07/03/14	1082.5	455.75		81.52	79.720001	1878.040039
10/03/14	1071.5	454.25		81.12	79.75		1877.170044
11/03/14	1083.25	454.5		81.51	79.769997	1867.630005
12/03/14	1070	456.5		81.39	79.610001	1868.199951
13/03/14	1071.75	453.75		81.82	79.620003	1846.339966
14/03/14	1069.5	456.5		81.86	79.440002	1841.130005
17/03/14	1071	452		81.37	79.389999	1858.829956
18/03/14	1077.75	455.5		81.25	79.410004	1872.25
19/03/14	1075.75	453		81.04	79.989998	1860.77002
20/03/14	1075.25	449.5		81.25	80.209999	1872.01001
21/03/14	1069	448.75		81.4	80.110001	1866.52002
24/03/14	1075.75	453		81.35	79.93		1857.439941
25/03/14	1078.75	451.5		81.18	79.940002	1865.619995
26/03/14	1076	450.25		81.25	79.980003	1852.560059
27/03/14	1075	451.25		81.18	80.110001	1849.040039
28/03/14	1076.5	450.25		80.68	80.18		1857.619995
31/03/14	1076	454.25		81.01	80.099998	1872.339966
01/04/14	1090	465.75		81.15	80.080002	1885.52002
02/04/14	1087.5	461.5		81.95	80.220001	1890.900024
03/04/14	1088.5	464.25		82.33	80.470001	1888.77002
04/04/14	1090	470		82.29	80.419998	1865.089966
07/04/14	1089.5	471		82.36	80.220001	1845.040039
08/04/14	1093	472		82.31	79.75		1851.959961
09/04/14	1100	470		82.24	79.480003	1872.180054
10/04/14	1100	468		82.3	79.379997	1833.079956
11/04/14	1094.5	465		82.19	79.449997	1815.689941
14/04/14	1099.5	467.75		82.34	79.730003	1830.609985
15/04/14	1100.5	466		82.35	79.800003	1842.97998
16/04/14	1099	463.75		82.62	79.82		1862.310059
17/04/14	1098.5	468.75		82.68	79.830002	1864.849976
21/04/14	1086	463.5		83.02	79.949997	1871.890015
22/04/14	1082.5	468		83.3	79.910004	1879.550049
23/04/14	1099	473.5		83.36	79.860001	1875.390015
24/04/14	1097.5	472.75		83.13	79.800003	1878.609985
25/04/14	1099	473.5		82.85	79.769997	1863.400024
28/04/14	1099.5	471.75		82.78	79.68		1869.430054
29/04/14	1098	471.75		82.73	79.809998	1878.329956
30/04/14	1100	471.5		82.47	79.489998	1883.949951
01/05/14	1085	465.25		82.39	79.529999	1883.680054
02/05/14	1084.25	461.25		82.29	79.519997	1881.140015
05/05/14	1087.75	465		82.23	79.489998	1884.660034
06/05/14	1090.25	470.75		82.13	79.139999	1867.719971
07/05/14	1085.75	471.75		82.69	79.220001	1878.209961
08/05/14	1087.25	471.25		82.64	79.43		1875.630005
09/05/14	1089	465.25		82.44	79.900002	1878.47998
12/05/14	1081	464.75		82.65	79.900002	1896.650024
13/05/14	1089	469.5		82.93	80.139999	1897.449951
14/05/14	1097.25	469.75		82.99	80.07		1888.530029
15/05/14	1094	466.75		83.15	80		1870.849976
16/05/14	1098	466.5		83.37	80.040001	1877.859985
19/05/14	1108.25	467.5		83.34	79.989998	1885.079956
20/05/14	1101	464.25		83.63	80.040001	1872.829956
21/05/14	1109.25	464		83.77	80.099998	1888.030029
22/05/14	1114.25	462.75		84.04	80.25		1892.48999
23/05/14	1114.75	465.75		84.29	80.389999	1900.530029
27/05/14	1103.75	461.25		84.28	80.349998	1911.910034
28/05/14	1106.75	464.25		84.62	80.57		1909.780029
29/05/14	1105	460		84.46	80.489998	1920.030029
30/05/14	1099.75	457		84.64	80.370003	1923.569946
02/06/14	1097	459.5		84.79	80.639999	1924.969971
03/06/14	1094	459.25		84.94	80.550003	1924.23999
04/06/14	1103.5	458.5		84.8	80.669998	1927.880005
05/06/14	1096.25	455.5		85.33	80.370003	1940.459961
06/06/14	1103.5	456.25		85.32	80.410004	1949.439941
09/06/14	1114	458.25		85.58	80.650002	1951.27002
10/06/14	1109.5	459.25		85.71	80.82		1950.790039
11/06/14	1110.5	459.75		85.94	80.790001	1943.890015
12/06/14	1112.75	460.75		85.95	80.580002	1930.109985
13/06/14	1114.5	465.75		86.05	80.580002	1936.160034
16/06/14	1115.75	460.75		86.64	80.470001	1937.780029
17/06/14	1123	460.75		87.1	80.629997	1941.98999
18/06/14	1120.5	461.25		87.44	80.580002	1956.97998
19/06/14	1129	465		87.83	80.32		1959.47998
20/06/14	1127.5	466.5		87.76	80.370003	1962.869995
23/06/14	1122.75	462.5		88.02	80.260002	1962.609985
24/06/14	1128.25	464		88.03	80.330002	1949.97998
25/06/14	1129.25	469.5		88.65	80.220001	1959.530029
26/06/14	1135.75	470.25		88.42	80.230003	1957.219971
27/06/14	1125	471.25		88.57	80.040001	1960.959961
30/06/14	1100.5	470		88.7	79.779999	1960.22998
01/07/14	1104	469.75		89.52	79.82		1973.319946
02/07/14	1105.75	463.5		89.53	79.959999	1974.619995
03/07/14	1097.25	463.5		89.73	80.209999	1985.439941
07/07/14	1097	456		90.06	80.220001	1977.650024
08/07/14	1093	455.75		89.72	80.18		1963.709961
09/07/14	1085.5	449.25		89.59	79.989998	1972.829956
10/07/14	1080.5	445.5		89.32	80.129997	1964.680054
11/07/14	1083.75	444.75		88.9	80.190002	1967.569946
14/07/14	1089	448.25		89.56	80.190002	1977.099976
15/07/14	1090.25	447		88.96	80.389999	1973.280029
16/07/14	1100.25	447		88.48	80.559998	1981.569946
17/07/14	1088.25	450.25		87.71	80.519997	1958.119995
18/07/14	1081	442.25		87.38	80.519997	1978.219971
21/07/14	1080.5	439.25		88.91	80.559998	1973.630005
22/07/14	1071	431		88.67	80.779999	1983.530029
23/07/14	1073.5	430.5		89.35	80.809998	1987.01001
24/07/14	1067.25	426.25		89.13	80.870003	1987.97998
25/07/14	1074.25	427.25		89.38	81.029999	1978.339966
28/07/14	1076.0	428.25		88.52	81.029999	1978.910034
29/07/14	1070.75	429		88.3	81.209999	1969.949951
30/07/14	1060.5	429.75		88.36	81.419998	1970.069946
31/07/14	1060	427.5		87.91	81.459999	1930.670044
01/08/14	1049	424.75		88.2	81.300003	1925.150024
04/08/14	1061.25	429.75		88.47	81.330002	1938.98999
05/08/14	1049.5	428.75		88.54	81.519997	1920.209961
06/08/14	1059.75	430		88.79	81.440002	1920.23999
07/08/14	1056	427.25		89.31	81.519997	1909.569946
08/08/14	1057.5	421.75		88.86	81.389999	1931.589966
11/08/14	1047	422		88.97	81.470001	1936.920044
