Date	        StockToUse
11/12/12	0.042890135
11/01/13	0.043973941
08/02/13	0.040584416
08/03/13	0.040584416
10/04/13	0.040584416
10/05/13	0.081188725
12/06/13	0.081188725
11/07/13	0.090379902
12/08/13	0.069269521
12/09/13	0.047770701
10/10/13        0.050095650
08/11/13	0.052420598
10/12/13	0.045815516
10/01/14	0.045399516
10/02/14	0.045330916
10/03/14	0.043687858
09/04/14	0.040178571
09/05/14	0.095652174
11/06/14	0.094202899
11/07/14	0.117198531
12/08/14	0.121434623
11/09/14	0.132570472
10/10/14	0.125593078
10/11/14	0.124481328
10/12/14	0.112175103
12/01/15	0.111838516
10/02/15	0.104025939
10/03/15	0.104025939
09/04/15	0.099435636
12/05/15	0.134084205
10/06/15	0.127209427
10/07/15	0.113514957
12/08/15	0.126446059
11/09/15	0.120805369
09/10/15	0.115332429
10/11/15	0.124398074
09/12/15	0.124398074
12/01/16	0.118566424
09/02/16	0.12158876
09/03/16	0.124661247
12/04/16	0.120107962
10/05/16	0.077707006
10/06/16	0.065989848
12/07/16	0.073047859
12/08/16	0.082171315
12/09/16	0.08987934
12/10/16	0.096317971
09/11/16	0.11684518
09/12/16	0.11684518
12/01/17	0.102239533
09/02/17	0.102239533
09/03/17	0.106279013
11/04/17	0.108988489
10/05/17	0.113341204
09/06/17	0.116883117
12/07/17	0.108618654
10/08/17	0.110439433
12/09/17	0.109801202
12/10/17	0.099398983
09/11/17	0.098243181
